lat,lon,severity
51.4152,-0.154,2
51.5154,-0.1408,28
51.5985,-0.075,2
51.4512,-0.2365,2
51.5331,-0.1371,24
51.4691,-0.2105,6
51.5757,-0.085,2
51.5064,-0.2744,2
51.5086,-0.1258,2
51.5466,-0.1417,22
51.5689,-0.0621,2
51.4036,-0.1604,2
51.5264,-0.0652,2
51.5444,0.0321,2
51.5419,-0.0573,2
51.3676,-0.1191,2
51.6685,-0.0414,2
51.5624,-0.0944,2
51.5221,-0.0717,2
51.5369,-0.1326,2
51.5143,-0.0555,2
51.4929,-0.37,2
51.4708,-0.1092,2
51.5044,-0.2211,2
51.5267,-0.0273,2
51.5207,-0.0514,2
51.5352,-0.1897,2
51.4995,-0.1047,20
51.5306,-0.1223,2
51.4739,-0.0899,2
51.5129,-0.2003,2
51.4585,-0.0808,2
51.4607,-0.1684,2
51.4913,-0.1801,2
51.4186,0.0984,2
51.4811,-0.0085,2
51.4828,-0.2868,2
51.4272,-0.1689,4
51.5242,-0.0957,4
51.5353,-0.0057,4
51.4529,-0.1935,2
51.5289,-0.1549,20
51.4753,0.0277,2
51.6042,-0.1119,26
51.5398,0.082,2
51.4923,-0.121,20
51.4165,-0.1256,2
51.5537,0.0052,2
51.4423,-0.0459,20
51.4332,-0.1811,2
51.5581,-0.0922,2
51.4728,-0.1366,2
51.4586,-0.0019,10
51.5778,-0.0829,18
51.4848,-0.1105,4
51.5392,-0.452,2
51.4826,-0.1864,2
51.4309,-0.1293,2
51.5617,-0.1036,20
51.4415,-0.1641,20
51.5376,-0.1481,2
51.4791,-0.1706,2
51.4073,-0.2223,2
51.5565,-0.0557,20
51.4967,-0.206,26
51.5278,-0.2356,2
51.5285,-0.093,2
51.4734,-0.1608,62
51.523,-0.1001,2
51.5222,-0.1063,56
51.4844,-0.22,10
51.4692,-0.0024,2
51.505,-0.096,2
51.4683,-0.2819,20
51.506,-0.0869,2
51.4301,-0.166,2
51.5356,-0.1326,2
51.5024,-0.0774,4
51.5028,0.0398,2
51.5181,-0.1675,40
51.541,-0.1376,2
51.4844,-0.126,2
51.5498,-0.1108,2
51.3891,-0.079,2
51.4648,-0.0169,2
51.4723,-0.093,2
51.4952,0.0127,2
51.5609,-0.0704,2
51.5118,-0.1199,24
51.5047,-0.1263,2
51.4915,-0.3813,20
51.4886,-0.1575,2
51.5138,-0.1408,2
51.5053,-0.2256,2
51.483,-0.1851,2
51.5123,-0.1433,2
51.489,-0.0572,2
51.4994,-0.1168,2
51.473,-0.055,2
51.5161,-0.0726,20
51.3703,-0.1583,2
51.5004,-0.1494,20
51.5044,-0.2437,2
51.5049,-0.2173,2
51.4944,-0.1324,2
51.5613,-0.1507,2
51.5317,-0.4505,2
51.3666,-0.0848,2
51.4239,-0.1724,2
51.5065,-0.1225,20
51.5079,-0.1045,4
51.5011,-0.2326,22
51.5071,-0.1072,20
51.5817,-0.1265,2
51.3916,-0.0314,2
51.5327,0.1123,2
51.5237,-0.0344,2
51.5137,-0.1563,2
51.4616,-0.173,2
51.5488,-0.2327,2
51.4692,-0.1768,6
51.5239,-0.1436,2
51.3915,-0.0312,2
51.5079,-0.1312,20
51.5565,-0.1161,2
51.4963,-0.0998,2
51.4239,-0.1979,2
51.6081,-0.4294,2
51.5947,-0.3208,2
51.5265,-0.1935,2
51.5423,-0.1172,2
51.561,0.0136,2
51.5457,-0.0508,2
51.5825,-0.0997,2
51.4985,-0.0622,4
51.5049,-0.0899,2
51.5072,-0.1324,22
51.5414,-0.3049,20
51.5362,-0.0069,2
51.553,-0.2946,2
51.4649,-0.2396,20
51.3744,-0.0508,2
51.4363,0.0691,20
51.6087,-0.3712,2
51.4127,-0.1673,2
51.4056,0.001,2
51.4725,-0.1222,2
51.3919,-0.1823,20
51.4816,-0.3472,2
51.4992,-0.1261,2
51.5341,-0.0802,2
51.4848,-0.3803,20
51.4628,-0.2213,2
51.4423,-0.0448,2
51.4607,-0.1188,2
51.5494,-0.2091,2
51.513,-0.1689,2
51.5157,-0.1358,2
51.5222,-0.2016,2
51.5357,-0.1563,2
51.526,-0.1785,2
51.6035,0.0097,20
51.5333,-0.0573,2
51.5219,-0.0462,8
51.4886,-0.2048,2
51.4796,-0.1149,52
51.5779,-0.028,2
51.4687,-0.0266,2
51.4487,-0.1446,2
51.5048,-0.0914,2
51.4468,-0.1493,2
51.5491,-0.129,20
51.5577,-0.2166,2
51.6144,-0.1092,2
51.5109,-0.1134,22
51.5771,-0.0729,2
51.4764,-0.3841,20
51.3711,-0.1947,20
51.4186,-0.2939,2
51.5273,-0.0256,2
51.5329,0.0364,20
51.4976,-0.1837,2
51.4368,-0.2575,2
51.5826,-0.0999,2
51.5066,-0.2318,2
51.4409,-0.0886,4
51.4462,-0.1498,26
51.6758,-0.125,2
51.6523,-0.0796,20
51.3737,-0.2251,2
51.5025,-0.1388,2
51.5203,-0.0745,20
51.4918,-0.0581,4
51.5591,-0.2182,2
51.4998,-0.1144,2
51.5414,0.0236,2
51.3463,-0.1113,2
51.5838,0.1415,2
51.5163,-0.1198,2
51.4427,-0.1535,2
51.4568,-0.2012,2
51.5283,0.0564,2
51.5467,-0.0873,2
51.4465,-0.1455,2
51.5629,0.1469,2
51.5608,-0.049,20
51.538,-0.4823,2
51.5787,-0.1045,2
51.5198,-0.0562,12
51.5312,-0.0389,2
51.4739,-0.0492,2
51.566,-0.1018,2
51.5493,-0.0913,2
51.4959,-0.083,6
51.4115,-0.0662,2
51.5692,0.008,20
51.4928,-0.0652,2
51.4611,-0.1875,2
51.4268,-0.3431,20
51.3933,-0.114,2
51.4839,-0.1751,2
51.4692,-0.1424,2
51.4928,-0.0835,2
51.518,-0.427,20
51.5334,-0.0077,4
51.4351,0.0633,2
51.4273,-0.1311,20
51.5312,-0.2169,2
51.5351,-0.1044,22
51.6817,-0.0334,2
51.414,-0.2874,20
51.4944,-0.2274,22
51.5207,-0.0522,4
51.3857,-0.1212,2
51.5022,-0.1047,2
51.5209,-0.0909,20
51.5196,-0.0576,2
51.4993,-0.0858,20
51.5796,0.1741,2
51.5473,-0.1166,2
51.3791,-0.0775,2
51.511,-0.2907,2
51.5155,-0.1484,20
51.4499,-0.3219,2
51.4931,-0.2494,2
51.5351,-0.1359,2
51.4677,0.0532,2
51.5147,-0.0604,2
51.4648,-0.1305,6
51.61,-0.4395,20
51.5507,-0.0747,2
51.5159,-0.0724,2
51.4979,-0.134,2
51.5431,-0.2703,2
51.5902,0.0318,2
51.5404,-0.1401,26
51.465,-0.2485,2
51.517,-0.1259,24
51.6024,-0.1204,2
51.4642,-0.1634,2
51.5586,-0.0554,4
51.3803,-0.0868,8
51.5508,-0.1496,2
51.5364,-0.0819,2
51.4826,-0.2536,22
51.4271,0.0593,2
51.4695,-0.0479,2
51.5624,-0.0538,20
51.5111,-0.112,20
51.5358,-0.1563,2
51.5143,-0.1503,4
51.4782,-0.1894,8
51.4887,-0.1294,20
51.5093,-0.0655,2
51.3911,-0.3091,2
51.5238,-0.1089,26
51.5114,-0.1776,6
51.4678,-0.0914,2
51.5747,-0.1422,2
51.6062,0.0439,2
51.5523,0.0527,20
51.6192,-0.0627,2
51.4219,-0.1292,4
51.5996,-0.0249,2
51.4464,-0.1246,2
51.5286,0.0848,2
51.4886,-0.1113,26
51.4595,-0.252,2
51.5493,-0.0916,26
51.5188,-0.1213,20
51.4569,0.03,2
51.5919,-0.0328,2
51.5488,-0.1133,2
51.3883,0.0156,2
51.5577,-0.3355,2
51.496,-0.1421,2
51.5934,-0.0984,20
51.5364,-0.1503,2
51.5446,-0.2355,2
51.5852,-0.1003,2
51.5974,-0.1084,2
51.512,-0.0731,20
51.421,-0.1753,20
51.5127,-0.0379,20
51.5444,-0.1408,2
51.4737,-0.1332,2
51.5279,-0.022,2
51.4813,-0.1108,30
51.524,-0.2138,2
51.5074,-0.1423,2
51.5106,-0.3219,2
51.501,-0.1047,2
51.5185,-0.1616,2
51.4938,0.0607,4
51.5039,-0.1045,2
51.4729,-0.1768,4
51.5161,-0.0697,4
51.4928,-0.1381,22
51.3982,-0.1589,2
51.4859,-0.2988,20
51.4907,-0.165,2
51.4743,-0.076,20
51.4887,-0.0776,2
51.4725,-0.0138,2
51.4624,-0.1364,4
51.6044,-0.1118,20
51.5427,-0.1989,2
51.5056,-0.2118,20
51.4448,-0.2066,42
51.5258,0.0293,4
51.5078,0.0142,2
51.4914,-0.2829,2
51.4835,-0.166,2
51.5373,0.0061,2
51.4645,-0.2367,4
51.3733,0.0958,2
51.3815,-0.0923,20
51.5599,-0.009,2
51.461,-0.1157,2
51.6208,-0.1061,2
51.4385,-0.2124,2
51.3453,-0.0653,2
51.6174,-0.2657,2
51.5302,-0.0989,2
51.4958,-0.1423,2
51.5379,-0.1305,2
51.5353,0.1481,2
51.5585,0.2389,2
51.5142,-0.1513,4
51.4682,-0.0251,8
51.3991,-0.2025,20
51.5131,-0.1408,8
51.4612,-0.1877,2
51.5318,-0.1092,22
51.5212,0.0583,8
51.5173,-0.0625,2
51.5208,0.0038,2
51.4741,-0.0922,2
51.4978,-0.1818,2
51.4535,-0.2122,62
51.4886,-0.1811,2
51.358,-0.2152,2
51.5496,-0.0597,2
51.4683,-0.1442,20
51.5472,-0.1114,20
51.5377,0.1483,2
51.5623,-0.2213,2
51.5384,-0.2431,20
51.5313,-0.116,20
51.5456,-0.1774,2
51.4823,-0.1119,2
51.4626,-0.1129,2
51.517,-0.0733,4
51.5018,-0.095,2
51.5063,-0.233,4
51.473,-0.0527,4
51.5508,-0.005,42
51.4684,-0.2267,48
51.5211,-0.0786,22
51.5567,-0.0744,2
51.4438,-0.4152,2
51.5638,-0.0143,20
51.4467,-0.1494,12
51.5033,-0.2468,2
51.3799,-0.2183,14
51.5567,-0.1302,20
51.5085,-0.0269,2
51.5164,-0.0665,2
51.4851,-0.1093,2
51.519,-0.1488,20
51.3704,-0.227,2
51.449,-0.148,6
51.5273,-0.0577,2
51.3656,-0.1856,20
51.5058,-0.075,20
51.3991,-0.2584,20
51.517,0.034,20
51.4658,-0.0812,2
51.4809,-0.1109,2
51.4976,-0.0795,2
51.5465,-0.0854,2
51.3173,-0.1387,20
51.4736,-0.0885,2
51.5363,-0.1789,20
51.5147,-0.0405,2
51.5848,-0.0193,2
51.5422,-0.1413,2
51.4953,-0.1828,20
51.3975,0.056,2
51.5179,-0.1316,20
51.5233,-0.033,2
51.5417,-0.3805,2
51.454,-0.1073,20
51.372,-0.2267,2
51.3762,-0.0597,2
51.5556,-0.176,2
51.47,-0.0962,2
51.5434,-0.1262,2
51.4746,-0.1227,20
51.4737,-0.1836,80
51.4739,-0.0636,2
51.4369,-0.4073,2
51.5275,-0.0231,18
51.5014,-0.0932,2
51.5543,-0.0685,2
51.4784,-0.17,20
51.4243,-0.2135,20
51.5037,-0.1262,22
51.5007,-0.1082,20
51.5033,-0.0917,2
51.5993,-0.068,2
51.5237,-0.0746,6
51.4568,-0.1901,20
51.5281,-0.1655,20
51.4555,-0.2066,20
51.4856,-0.0704,2
51.3836,-0.0983,2
51.4739,-0.0658,2
51.5134,-0.1289,2
51.479,-0.0854,20
51.3358,0.0539,2
51.637,-0.1305,2
51.5034,-0.1173,2
51.5221,-0.0846,2
51.529,-0.0752,2
51.5139,-0.1896,2
51.6006,-0.0139,20
51.5636,-0.1068,22
51.4694,-0.0728,2
51.4548,-0.1457,2
51.5338,-0.3474,2
51.5944,0.0104,2
51.5777,-0.0731,2
51.4751,-0.0353,20
51.4488,-0.1138,2
51.5614,0.0848,2
51.4651,-0.2419,2
51.4615,-0.3033,2
51.4216,-0.1748,2
51.4955,-0.1496,2
51.5201,-0.2116,4
51.506,-0.0751,20
51.3779,-0.2797,2
51.5556,-0.0746,22
51.5009,-0.1195,2
51.5644,-0.4439,22
51.4897,-0.0849,2
51.3595,-0.1398,2
51.5542,-0.1651,2
51.4746,-0.1228,62
51.5366,-0.1464,2
51.4718,-0.1772,2
51.3916,-0.2229,2
51.5357,-0.1832,2
51.5205,-0.0526,2
51.5164,-0.1392,2
51.5177,-0.1077,28
51.433,-0.1808,2
51.3428,-0.1316,2
51.4588,-0.0124,4
51.488,-0.1583,2
51.5858,-0.2886,20
51.4729,-0.0931,2
51.4081,-0.1632,22
51.4513,-0.2992,2
51.4984,-0.0464,2
51.4948,-0.0654,2
51.536,-0.0866,2
51.5801,-0.0237,2
51.5469,0.0321,20
51.4063,0.0186,4
51.4791,-0.1877,4
51.4191,-0.1356,2
51.4017,-0.0919,20
51.5256,-0.035,2
51.5466,-0.0828,2
51.3148,0.0472,2
51.4602,-0.0112,2
51.541,-0.197,2
51.4552,-0.2547,4
51.5109,-0.0668,4
51.6029,-0.018,2
51.5775,-0.0883,2
51.5941,-0.0766,2
51.4836,-0.0942,6
51.5265,-0.0641,4
51.3933,-0.2409,20
51.4871,-0.1116,2
51.5052,-0.2244,2
51.456,-0.1189,4
51.5645,-0.0401,2
51.4402,-0.3327,20
51.4302,-0.1919,2
51.4066,-0.121,4
51.4595,-0.125,2
51.5425,-0.1739,2
51.4682,-0.178,6
51.4673,-0.1086,20
51.4935,-0.2424,4
